Id;TradeName;LegalName;Address;Postalcode;Locality;Location
1;Danmarks Statistik;Danmarks Statistik;Sejrøgade 11, Postboks 2550;2100;KØBENHAVN Ø;Sejrøgade 11, Postboks 2550 KØBENHAVN Ø
2;Statistics Estonia;Statistics Estonia;Tatari 51;10134;Tallinn;Tatari 51 Tallinn
3;INSEE, Direction générale;INSEE, Direction générale;88 avenue Verdier - CS 70058;92541;Montrouge Cedex.;88 avenue Verdier - CS 70058 Montrouge Cedex.
4;ISTAT;Istituto Nazionale di Statistica;Via Cesare Balbo;184;Roma;Via Cesare Balbo Roma
5;Statistical Service of Cyprus;Statistical Service of Cyprus;Michalakis Karaolis street;1444;Nicosia;Michalakis Karaolis street Nicosia
6;National Statistics Office;National Statistics Office;Lascaris;VLT 2000;Valetta CMR02;Lascaris Valetta CMR02
7;Statistik Austria;Statistik Austria;Guglgasse 13;1110;Wien;Guglgasse 13 Wien
8;Statistics Poland;Statistics Poland;Al. Niepodleglosci 208;00-925;Warsaw;Al. Niepodleglosci 208 Warsaw
9;Statistical Office of the Republic of Slovenia;Statistical Office of the Republic of Slovenia;Vožarski pot 12;1000;Ljubljana;Vožarski pot 12 Ljubljana
10;Statistical Office of the Slovak Republic;Statistical Office of the Slovak Republic;Mileticova 3;824 67;Bratislava;Mileticova 3 Bratislava
11;Statistics Finland;Statistics Finland;Työpajankatu 13;FI-00580;Helsinki;Työpajankatu 13 Helsinki
12;Statistics Sweden (SCB);Statistics Sweden (SCB);Box 24300;104 51;STOCKHOLM;Box 24300 STOCKHOLM
13;Office for National Statistics (ONS);Office for National Statistics (ONS);Head of the Government Statistical Service 1 Drummond Gate; SW1V 2QQ;LONDON;Head of the Government Statistical Service 1 Drummond Gate LONDON
14;Statistics Iceland;Statistics Iceland;Borgartuni 21a;150;Reykjavik;Borgartuni 21a Reykjavik
